id	tow_id	data_m	cechy_list
239641	240534	2019-07-23 16:26:32	
914044	240534	2020-12-01 15:21:34	
939139	240534	2020-12-08 15:21:06	
1116800	240534	2021-01-19 11:25:08	
1117501	240534	2021-01-19 11:27:24	
1179030	240534	2021-02-02 16:02:18	
1180061	240534	2021-02-02 16:03:37	
1208641	240534	2021-02-09 15:57:47	
1486541	240534	2021-04-13 13:32:46	
1487370	240534	2021-04-13 13:34:01	
1914644	240534	2021-07-06 14:34:50	
1915330	240534	2021-07-06 14:35:44	
2041911	240534	2021-08-03 14:59:09	
2043428	240534	2021-08-03 15:00:43	
2129595	240534	2021-08-24 14:26:31	
2130264	240534	2021-08-24 14:31:31	
2398049	240534	2021-11-02 14:01:31	
2398567	240534	2021-11-02 14:15:17	
2474158	240534	2021-11-23 09:38:34	
2474629	240534	2021-11-23 09:39:28	
3027443	240534	2022-03-26 03:44:31	
3095336	240534	2022-04-08 03:44:49	
3125231	240534	2022-04-15 03:45:08	
3196213	240534	2022-05-03 03:45:21	
3203173	240534	2022-05-05 03:44:42	
3214796	240534	2022-05-08 03:44:45	
3216325	240534	2022-05-09 03:43:45	
3226687	240534	2022-05-11 03:45:09	
3686829	240534	2022-08-25 12:50:55	
3747170	240534	2022-09-09 03:46:05	
3750984	240534	2022-09-10 03:45:40	
3753805	240534	2022-09-12 03:45:12	
3774245	240534	2022-09-17 03:46:39	
3777012	240534	2022-09-19 03:44:28	
3777845	240534	2022-09-19 09:23:38	
3799011	240534	2022-09-24 03:46:02	
3801977	240534	2022-09-26 03:44:34	
3823069	240534	2022-10-01 03:45:41	
3835026	240534	2022-10-05 03:46:07	
3943400	240534	2022-10-28 03:45:52	
3963475	240534	2022-11-01 03:47:24	
3982538	240534	2022-11-05 03:47:01	
3983986	240534	2022-11-06 03:45:05	
4058794	240534	2022-11-22 15:32:14	DF
4124297	240534	2022-12-06 10:50:17	DF
4124538	240534	2022-12-06 11:22:18	DF
4512361	240534	2023-01-31 11:06:08	DF
4619115	240534	2023-02-21 03:45:38	DF
4765727	240534	2023-03-22 16:20:34	DF
4867508	240534	2023-03-29 16:09:40	DF,NZ
4956131	240534	2023-03-30 13:54:45	DF
5153291	240534	2023-04-28 03:45:39	DF
5158244	240534	2023-04-29 03:45:54	DF
5649626	240534	2023-08-07 03:45:09	DF
6783253	240534	2024-02-21 08:20:49	DF
6831869	240534	2024-02-27 10:57:47	DF
257093	258904	2018-04-25 14:20:20	ZA
735205	258904	2020-10-26 10:05:46	
762862	258904	2020-10-30 13:08:42	
770687	258904	2020-11-02 12:59:58	
868536	258904	2020-11-23 03:42:49	
1290804	258904	2021-03-02 11:21:11	
2133734	258904	2021-08-25 08:14:45	
2283998	258904	2021-10-06 08:08:51	
2864281	258904	2022-02-22 10:53:04	WP
2864290	258904	2022-02-22 10:57:04	WP
2915562	258904	2022-03-07 08:21:47	WP
