id	tow_kod	cechy_list
291694	525 000	ZA
291695	525 001	
291696	525 002	
291697	525 003	
291698	525 004	
291699	525 005	
291700	525 006	
291701	525 007	
291702	525 008	
291703	525 009	
291704	525 010	
291705	525 011	
291706	525 012	
296542	525 013	01
298226	525 014	
288530	525 015	WP
292177	525 016	
292011	525 017	WP,ZA
312797	525 018	
291609	525 019	WP,ZA
312108	525 020	
296597	525 021	01
298460	525 022	WP
297601	525 023	WP
297602	525 024	WP
297603	525 025	WP
297604	525 026	
297605	525 027	WP
288373	525 028	WP
297606	525 029	WY
296598	525 030	01,DF
296599	525 031	01,ZA
296600	525 032	01
296907	525 033	01,RR
306100	525 034	ZA
288871	525 035	
296031	525 036	ZA
296694	525 037	
303208	525 038	
303209	525 039	
289182	525 040	
295358	525 041	
295359	525 042	
311989	525 043	ZA
312304	525 044	
302848	525 045	01,WP
312173	525 046	
287341	525 047	01
302686	525 048	
302657	525 049	01,ZA
289191	525 050	
296660	525 051	RR
296970	525 052	01
295198	525 053	WP
294910	525 054	WY,ZA
289192	525 055	
289193	525 056	KZ,NP
289194	525 057	KZ,NP,ZA
289195	525 058	NP
289505	525 059	KZ,NP
289506	525 060	
311036	525 061	
295481	525 062	
295786	525 063	
295787	525 064	
295788	525 065	
295789	525 066	RR
295790	525 067	
295791	525 068	
310887	525 069	
310888	525 070	
310889	525 071	
295792	525 072	
310890	525 073	ZA
310891	525 074	
310892	525 075	ZA
310893	525 076	ZA
311211	525 077	
311212	525 078	ZA
311213	525 079	
311214	525 080	ZA
293909	525 081	
293910	525 082	
293911	525 083	ZA
308608	525 084	ZA
301352	525 085	WP
312309	525 086	01
301353	525 087	WP
312310	525 088	01
302482	525 089	
295797	525 090	ZA
295798	525 091	ZA
295799	525 092	
295800	525 093	
295801	525 094	ZA
295802	525 095	NP
295803	525 096	
295804	525 097	
295805	525 098	ZA
289509	525 099	
258904	520 439	DF
240534	520 567	DF
261998	521 394	DF
291547	522 883	DF
282103	523 100	DF
285799	523 121	DF
291554	523 412	DF
273356	523 559	01,DF
273697	523 771	DF
277352	524 212	DF
279919	524 274	01,DF
280522	524 343	01,DF
303083	524 938	DF
306939	525 299	01,DF
301991	525 601	DF
316891	526 108	DF
327087	526 455	DF,RR
328891	527 105	DF
314076	527 246	DF
320923	527 490	DF
319655	527 654	DF
323345	528 235	DF
316849	528 563	DF
328341	529 203	01,DF
330430	529 557	DF
